ogc_fid,x,y
"878",2.183107,41.400231
"879",2.183118,41.399331
"880",2.183129,41.398430
"881",2.183231,41.390324
"882",2.183242,41.389423
"883",2.183253,41.388522
"884",2.183265,41.387622
"885",2.183197,41.393026
"886",2.183208,41.392125
"887",2.183220,41.391224
"888",2.182960,41.411940
"889",2.182971,41.411039
"890",2.182983,41.410139
"891",2.182994,41.409238
"892",2.182915,41.415543
"893",2.182926,41.414642
"894",2.182938,41.413741
"895",2.182949,41.412841
"896",2.183050,41.404735
"897",2.183062,41.403834
"898",2.183073,41.402933
"899",2.183084,41.402033
"900",2.183005,41.408337
"901",2.183017,41.407437
"902",2.183028,41.406536
"903",2.183039,41.405635
"904",2.123022,41.331332
"905",2.182779,41.426351
"906",2.123034,41.330431
"907",2.182791,41.425450
"908",2.123046,41.329530
"909",2.182802,41.424549
"910",2.182813,41.423649
"911",2.182734,41.429953
"912",2.122998,41.333133
"913",2.182746,41.429053
"914",2.182757,41.428152
"915",2.182768,41.427251
"916",2.182870,41.419145
"917",2.123130,41.323226
"918",2.182881,41.418245
"919",2.182892,41.417344
"920",2.182904,41.416443
"921",2.182825,41.422748
"922",2.123082,41.326828
"923",2.182836,41.421847
"924",2.123094,41.325928
"925",2.182847,41.420947
"926",2.123106,41.325027
"927",2.182859,41.420046
"928",2.182599,41.440761
"929",2.182610,41.439861
"930",2.182621,41.438960
"931",2.182633,41.438059
"932",2.182554,41.444364
"933",2.182565,41.443463
"934",2.182576,41.442562
"935",2.122925,41.338537
"936",2.182587,41.441662
"937",2.182700,41.432655
"938",2.182712,41.431755
"939",2.182723,41.430854
"940",2.182644,41.437159
"941",2.182655,41.436258
"942",2.122901,41.340338
"943",2.182667,41.435357
"944",2.122913,41.339438
"945",2.182678,41.434457
"946",2.182418,41.455172
"947",2.182429,41.454271
"948",2.182440,41.453370
"949",2.182452,41.452470
"950",2.182373,41.458774
"951",2.182384,41.457874
"952",2.182395,41.456973
"953",2.182407,41.456072
"954",2.182508,41.447966
"955",2.182520,41.447066
"956",2.182531,41.446165
"957",2.182542,41.445264
"958",2.182463,41.451569
"959",2.182474,41.450668
"960",2.182486,41.449768
"961",2.122441,41.374563
"962",2.182497,41.448867
"963",2.182259,41.467781
"964",2.122393,41.378166
"965",2.182271,41.466880
"966",2.122405,41.377265
"967",2.122417,41.376365
"968",2.122429,41.375464
"969",2.062010,41.419124
"970",2.182327,41.462377
"971",2.062036,41.417323
"972",2.182339,41.461476
"973",2.062049,41.416422
"974",2.182361,41.459675
"975",2.182282,41.465980
"976",2.061997,41.420025
"977",2.182293,41.465079
"978",2.182305,41.464178
"979",2.122248,41.388974
"980",2.182316,41.463278
"981",2.122260,41.388073
"982",2.122272,41.387173
"983",2.122284,41.386272
"984",2.122199,41.392577
"985",2.122211,41.391676
"986",2.122223,41.390775
"987",2.122235,41.389875
"988",2.122344,41.381769
"989",2.122381,41.379067
"990",2.122296,41.385371
"991",2.122308,41.384471
"992",2.122320,41.383570
"993",2.122332,41.382669
"994",2.122054,41.403385
"995",2.122066,41.402484
"996",2.122078,41.401583
"997",2.122090,41.400683
"998",2.122005,41.406987
"999",2.122017,41.406086
"1000",2.122029,41.405186
"1001",2.122042,41.404285
"1002",2.122151,41.396179
"1003",2.122163,41.395279
"1004",2.122175,41.394378
"1005",2.122187,41.393477
"1006",2.122102,41.399782
"1007",2.122114,41.398881
"1008",2.122126,41.397981
"1009",2.122139,41.397080
"1010",2.121860,41.417795
"1011",2.121872,41.416894
"1012",2.121884,41.415994
"1013",2.121896,41.415093
"1014",2.121811,41.421398
"1015",2.121823,41.420497
"1016",2.121835,41.419596
"1017",2.121847,41.418696
"1018",2.121993,41.407888
"1019",2.121920,41.413292
"1020",2.121932,41.412391
"1021",2.121945,41.411490
"1022",2.182159,41.380408
"1023",2.182114,41.384011
"1024",2.182125,41.383110
"1025",2.182136,41.382209
"1026",2.182148,41.381309
"1027",2.121763,41.425000
"1028",2.121775,41.424100
"1029",2.182215,41.375905
"1030",2.121750,41.425901
"1031",2.181978,41.394819
"1032",2.181990,41.393918
"1033",2.182001,41.393017
"1034",2.182012,41.392117
"1035",2.181933,41.398421
"1036",2.181945,41.397521
"1037",2.181956,41.396620
"1038",2.181967,41.395719
"1039",2.182069,41.387613
"1040",2.182080,41.386713
"1041",2.182091,41.385812
"1042",2.182103,41.384911
"1043",2.182024,41.391216
"1044",2.182035,41.390315
"1045",2.182046,41.389415
"1046",2.182057,41.388514
"1047",2.181798,41.409229
"1048",2.181809,41.408329
"1049",2.181820,41.407428
"1050",2.181832,41.406527
"1051",2.181752,41.412832
"1052",2.181764,41.411931
"1053",2.181775,41.411031
"1054",2.181786,41.410130
"1055",2.181888,41.402024
"1056",2.181899,41.401123
"1057",2.181911,41.400223
"1058",2.181922,41.399322
"1059",2.181843,41.405627
"1060",2.181854,41.404726
"1061",2.181865,41.403825
"1062",2.181877,41.402925
"1063",2.121863,41.328621
"1064",2.181617,41.423640
"1065",2.121875,41.327720
"1066",2.181628,41.422739
"1067",2.181639,41.421839
